,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Rand,Fowlkes-Mallows,Jaccard,Number of clusters
871,mountain,"sigma = 0.8,tol = 0.2,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
872,mountain,"sigma = 0.8,tol = 0.3,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
873,mountain,"sigma = 0.8,tol = 0.4,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
874,mountain,"sigma = 0.8,tol = 0.5,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
875,mountain,"sigma = 0.8,tol = 0.6,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
876,mountain,"sigma = 0.8,tol = 0.7,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
877,mountain,"sigma = 0.8,tol = 0.8,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
878,mountain,"sigma = 0.8,tol = 0.9,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
879,mountain,"sigma = 0.8,tol = 1,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
880,mountain,"sigma = 0.9,tol = 0.1,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
881,mountain,"sigma = 0.9,tol = 0.2,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
882,mountain,"sigma = 0.9,tol = 0.3,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
883,mountain,"sigma = 0.9,tol = 0.4,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
884,mountain,"sigma = 0.9,tol = 0.5,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
885,mountain,"sigma = 0.9,tol = 0.6,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
